route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,shape_id,wheelchair_accessible,bikes_allowed
NUIT,chouette:TimeTable:22a83faa-d823-4bb3-84e8-bfbbf86c0696:LOC,6052274,IRIGO NUIT,6052274,1,NUIT0048,1,0
114,SUB2526-SUB-PSJ-Semaine-12-114,11402,St-Aubin-la-Salle,11402,0,114A0001,0,0
107,SUB2526-SUB-PSJ-Semaine-12-0001000-107,10705,PELLOUAILLES,10705,1,107R0002,0,0
NUIT,chouette:TimeTable:22a83faa-d823-4bb3-84e8-bfbbf86c0696:LOC,6052275,IRIGO NUIT,6052275,1,NUIT0048,1,0
155,SUB2526-SUB-PSJ-Semaine-12-1101100-155,15503,STE GEMMES - BOUCHEMAINE,15503,1,155R0001,0,0
NUIT,chouette:TimeTable:22a83faa-d823-4bb3-84e8-bfbbf86c0696:LOC,6052272,IRIGO NUIT,6052272,1,NUIT0048,1,0
NUIT,chouette:TimeTable:22a83faa-d823-4bb3-84e8-bfbbf86c0696:LOC,6052273,IRIGO NUIT,6052273,1,NUIT0048,1,0
176,SUB2526-SUB-PSJ-Semaine-12-1000000-176,17608,Narcé,17608,0,176A0003,0,0
176,SUB2526-SUB-PSJ-Semaine-12-0111100-176,17602,Narcé,17602,0,176A0004,0,0
156,SUB2526-SUB-PSJ-Semaine-12-156,15604,Millot,15604,0,156A0002,0,0
107,SUB2526-SUB-PSJ-Semaine-12-107,10702,Collège Jeanne d'Arc,10702,0,107A0001,0,0
195,SUB2526-SUB-PSJ-Semaine-12-0010000-195,19507,ST JEAN DE LINIÈRES,19507,1,195R0004,0,0
134,SUB2526-SUB-PSJ-Semaine-12-1101100-134,13409,BAUNE,13409,1,134R0003,0,0
176,SUB2526-SUB-PSJ-Semaine-12-1000000-176,17612,Narcé,17612,0,176A0003,0,0
155,SUB2526-SUB-PSJ-Semaine-12-0010000-155,15501,STE GEMMES - BOUCHEMAINE,15501,1,155R0001,0,0
NUIT,AFF2526-NUIT-7-jours-00-0000001-NUIT,6052523,IRIGO NUIT,6052523,1,NUIT0048,1,0
176,SUB2526-SUB-PSJ-Semaine-12-0111100-176,17614,Narcé,17614,0,176A0003,0,0
104,SUB2526-SUB-PSJ-Semaine-12-1100100-104,10403,ECOUFLANT,10403,1,104R0002,0,0
NUIT,chouette:TimeTable:22a83faa-d823-4bb3-84e8-bfbbf86c0696:LOC,6052276,IRIGO NUIT,6052276,1,NUIT0048,1,0
NUIT,chouette:TimeTable:4d5003e2-d361-4655-bd7d-1529a5246c05:LOC,6052277,IRIGO NUIT,6052277,1,NUIT0048,1,0
NUIT,chouette:TimeTable:4d5003e2-d361-4655-bd7d-1529a5246c05:LOC,6052278,IRIGO NUIT,6052278,1,NUIT0048,1,0
NUIT,chouette:TimeTable:4d5003e2-d361-4655-bd7d-1529a5246c05:LOC,6052279,IRIGO NUIT,6052279,1,NUIT0048,1,0
NUIT,chouette:TimeTable:4d5003e2-d361-4655-bd7d-1529a5246c05:LOC,6052280,IRIGO NUIT,6052280,1,NUIT0048,1,0
147,SUB2526-SUB-PSJ-Semaine-12-1101100-147,14703,Andard,14703,1,147R0012,0,0
144,SUB2526-SUB-PSJ-Semaine-12-144,14402,Venaiserie,14402,0,144A0002,0,0
144,SUB2526-SUB-PSJ-Semaine-12-1101100-144,14403,CORNÉ,14403,1,144R0001,0,0
220,SUB2526-SUB-VS-Semaine-MFR220-1000000-220,22004vs,MFR La Meignanne,22004,0,220A0001,0,0
145,SUB2526-SUB-PSJ-Semaine-12-1101100-145,14503,CORNÉ,14503,1,145R0002,0,0
176,SUB2526-SUB-PSJ-Semaine-12-0111100-176,17604,Narcé,17604,0,176A0003,0,0
207,SUB2526-SUB-PSJ-Semaine-12-0010000-207,20701,FENEU,20701,1,207R0001,0,0
213,SUB2526-SUB-PSJ-Semaine-12-1101100-213,21301,CORNÉ,21301,1,213R0001,0,0
147,SUB2526-SUB-PSJ-Semaine-12-147,14702,Venaiserie,14702,0,147A0011,0,0
356,SUB2526-SUB-PSJ-Semaine-12-0010000-356,35603,Romanerie,35603,1,356R0002,0,0
146,SUB2526-SUB-PSJ-Semaine-12-146,14602,Venaiserie,14602,0,146A0001,0,0
106,SUB2526-SUB-PSJ-Semaine-12-0010000-106,10601,BRIOLLAY,10601,1,106R0001,0,0
30,SUB2526-SUB-VS-Semaine-33-30,3050,ANGERS Hôtel de Ville,3050,0,30A0043,0,0
111,SUB2526-SUB-PSJ-Semaine-12-111,11104,St-Aubin-la-Salle,11104,0,111A0001,0,0
106,SUB2526-SUB-PSJ-Semaine-12-106,10602,Collège Jeanne d'Arc,10602,0,106A0002,0,0
107,SUB2526-SUB-PSJ-Semaine-12-1100100-107,10703,PELLOUAILLES,10703,1,107R0002,0,0
155,SUB2526-SUB-PSJ-Semaine-12-155,15502,Millot,15502,0,155A0002,0,0
111,SUB2526-SUB-PSJ-Semaine-12-111,11102,St-Aubin-la-Salle,11102,0,111A0001,0,0
176,SUB2526-SUB-PSJ-Semaine-12-1000000-176,17610,Narcé,17610,0,176A0003,0,0
106,SUB2526-SUB-PSJ-Semaine-12-0001000-106,10605,BRIOLLAY,10605,1,106R0001,0,0
140,SUB2526-SUB-PSJ-Semaine-12-0010000-140,14001,ANDARD,14001,1,140R0001,0,0
141,SUB2526-SUB-PSJ-Semaine-12-0010000-141,14101,SARRIGNÉ,14101,1,141R0001,0,0
105,SUB2526-SUB-PSJ-Semaine-12-0010000-105,10501,VILLEVÊQUE,10501,1,105R0001,0,0
30,SUB2526-SUB-PSJ-Semaine-12-30,3017,BAUNÉ Louise Michel,3017,1,30R0050,0,0
106,SUB2526-SUB-PSJ-Semaine-12-1100100-106,10603,BRIOLLAY,10603,1,106R0001,0,0
111,SUB2526-SUB-PSJ-Semaine-12-111,11105,ANGERS GARES,11105,1,111R0002,0,0
103,SUB2526-SUB-PSJ-Semaine-12-0010000-103,10301,BRIOLLAY,10301,1,103R0001,0,0
